purchases,unique_invoices,streams,total_views,revenue
3223.0,166.0,1345.0,15047.0,14450.540000000325
3277.0,133.0,1397.0,14159.0,13411.960000000328
3002.0,150.0,1335.0,15766.0,13290.250000000262
2559.0,107.0,1256.0,12524.0,9687.280000000057
402.0,32.0,287.0,3313.0,1443.2600000000011
1942.0,90.0,977.0,8544.0,6432.939999999952
2869.0,123.0,1354.0,12751.0,13137.500000000222
2440.0,170.0,1196.0,12604.0,9467.010000000033
2470.0,114.0,1308.0,10510.0,11268.54000000006
2492.0,123.0,1229.0,11985.0,10976.600000000073
1542.0,121.0,876.0,7922.0,4898.319999999972
,,,,
1776.0,77.0,980.0,8521.0,4982.869999999973
4117.0,122.0,1596.0,17017.0,19866.98000000031
2004.0,123.0,1031.0,11127.0,10012.130000000036
3216.0,106.0,1421.0,14280.0,15879.660000000289
1965.0,162.0,1067.0,9505.0,7701.579999999948
2057.0,84.0,1123.0,8973.0,10970.560000000138
,,,,
637.0,40.0,468.0,4013.0,1964.7900000000047
645.0,52.0,467.0,3212.0,2846.579999999992
2053.0,203.0,1146.0,5218.0,13350.100000000077
540.0,32.0,377.0,3028.0,2268.309999999997
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
668.0,70.0,521.0,3005.0,1966.550000000005
938.0,46.0,634.0,5603.0,3061.269999999997
294.0,14.0,250.0,1994.0,965.8500000000016
1065.0,87.0,695.0,8499.0,3373.1599999999894
719.0,49.0,505.0,5463.0,4979.929999999986
,,,,
704.0,37.0,489.0,4702.0,2080.1000000000076
2688.0,74.0,1082.0,8682.0,14429.400000000163
1107.0,65.0,775.0,5678.0,3799.5799999999917
1644.0,64.0,927.0,5706.0,11600.810000000054
2230.0,87.0,1062.0,9615.0,12228.63000000008
662.0,53.0,441.0,4534.0,2084.960000000004
,,,,
1116.0,41.0,684.0,5700.0,3438.3099999999854
1908.0,50.0,1008.0,6112.0,8908.330000000016
1859.0,51.0,1068.0,8924.0,7847.690999999996
1224.0,80.0,810.0,5168.0,7021.909999999994
1228.0,88.0,780.0,7288.0,3854.5999999999813
1520.0,77.0,888.0,8369.0,9419.020000000019
,,,,
1271.0,52.0,706.0,5892.0,4022.2299999999764
1699.0,72.0,920.0,7689.0,7017.8099999999695
1588.0,168.0,853.0,8009.0,15461.130000000103
1560.0,85.0,887.0,7649.0,6385.549999999985
1254.0,83.0,752.0,7821.0,3804.139999999985
1209.0,82.0,718.0,6193.0,23966.84099999995
,,,,
1400.0,58.0,796.0,7490.0,3953.5599999999804
1399.0,82.0,841.0,6337.0,7421.110999999983
1177.0,60.0,744.0,7143.0,4616.5299999999725
1551.0,150.0,949.0,7229.0,5971.390999999984
1590.0,143.0,894.0,8239.0,4837.899999999967
1077.0,147.0,710.0,5556.0,4328.159999999993
,,,,
844.0,35.0,558.0,3803.0,2310.459999999998
1373.0,75.0,789.0,6617.0,6838.369999999995
1058.0,58.0,670.0,6954.0,3607.209999999988
884.0,38.0,627.0,2974.0,4111.6899999999805
871.0,101.0,554.0,4781.0,2901.149999999991
824.0,75.0,612.0,4153.0,3009.969999999987
,,,,
1194.0,51.0,710.0,6478.0,3554.9899999999825
899.0,55.0,571.0,6991.0,5680.740999999991
1950.0,109.0,1095.0,9178.0,8022.729999999969
1050.0,64.0,676.0,6888.0,3361.3899999999853
1390.0,91.0,788.0,8389.0,5028.669999999965
1634.0,64.0,923.0,5494.0,7938.450000000003
,,,,
981.0,60.0,616.0,4351.0,3367.130999999978
1156.0,86.0,695.0,8322.0,3731.489999999982
1214.0,88.0,768.0,6589.0,4217.939999999986
1390.0,123.0,836.0,6950.0,5192.740999999978
1561.0,91.0,870.0,9503.0,5217.099999999964
1028.0,65.0,704.0,4703.0,7546.430999999987
,,,,
1293.0,58.0,739.0,5616.0,3960.7899999999745
1230.0,97.0,804.0,7039.0,4471.599999999968
1619.0,137.0,976.0,7563.0,6904.309999999994
1763.0,84.0,1024.0,10398.0,6203.959999999964
1937.0,102.0,1009.0,11677.0,7608.819999999953
1269.0,86.0,772.0,6456.0,5063.209999999978
,,,,
1802.0,67.0,1083.0,8424.0,6232.909999999957
1972.0,109.0,1068.0,8910.0,9686.82999999994
1254.0,105.0,784.0,7080.0,6752.6799999999685
1607.0,84.0,934.0,8572.0,6373.6099999999915
1319.0,76.0,858.0,6657.0,5420.859999999985
932.0,54.0,661.0,5351.0,3744.0900000000015
,,,,
669.0,25.0,447.0,2964.0,1817.5800000000036
1690.0,82.0,979.0,7051.0,7573.530999999985
1396.0,94.0,831.0,7229.0,5195.8999999999705
1293.0,56.0,778.0,7873.0,4263.499999999966
1591.0,97.0,847.0,9830.0,6450.7199999999775
1408.0,92.0,757.0,7221.0,48929.06999999991
,,,,
1392.0,64.0,799.0,6922.0,4007.2199999999752
1553.0,104.0,896.0,8340.0,6600.9699999999675
1315.0,84.0,751.0,6541.0,52515.16999999939
1594.0,117.0,871.0,8893.0,9218.690000000033
1899.0,112.0,946.0,10163.0,19204.28000000016
1388.0,86.0,884.0,7721.0,5331.209999999987
,,,,
1838.0,60.0,904.0,9368.0,4761.22999999998
1983.0,98.0,1035.0,9528.0,8616.999999999964
1900.0,108.0,1011.0,10054.0,7485.14999999996
1898.0,87.0,954.0,8989.0,7870.139999999959
1719.0,113.0,927.0,9504.0,6704.069999999963
,,,,
,,,,
,,,,
,,,,
1106.0,67.0,700.0,5633.0,3875.0999999999694
1385.0,72.0,829.0,7822.0,4907.66999999996
2024.0,96.0,1023.0,11108.0,7273.149999999966
919.0,57.0,600.0,5416.0,3490.169999999985
,,,,
1114.0,44.0,664.0,6339.0,3202.429999999993
1012.0,86.0,610.0,6696.0,3510.4709999999855
1318.0,92.0,756.0,6755.0,4270.259999999978
1129.0,64.0,625.0,7653.0,3469.879999999987
1162.0,89.0,657.0,7518.0,24266.590000000095
869.0,48.0,588.0,5843.0,2551.879999999999
,,,,
1457.0,57.0,752.0,6665.0,5620.1399999999785
3132.0,86.0,1257.0,11913.0,15653.439999999906
1540.0,78.0,828.0,8039.0,13939.590000000082
1325.0,86.0,740.0,8183.0,8380.569999999992
1549.0,132.0,813.0,9964.0,17109.400000000045
1157.0,70.0,667.0,6662.0,5920.14999999999
,,,,
1339.0,50.0,731.0,6233.0,4403.149999999973
1962.0,120.0,931.0,9368.0,9095.379999999965
1686.0,106.0,850.0,11172.0,5622.5599999999595
1787.0,79.0,905.0,11301.0,5885.789999999979
2058.0,106.0,1046.0,11371.0,-44990.04900000062
1308.0,94.0,755.0,6686.0,6546.579999999978
,,,,
845.0,43.0,534.0,4605.0,2638.0399999999954
,,,,
1458.0,101.0,827.0,7530.0,7857.459999999983
1591.0,117.0,837.0,7896.0,7172.599999999967
2132.0,128.0,979.0,13295.0,9737.41000000004
1365.0,88.0,815.0,9541.0,4199.14999999997
,,,,
1755.0,64.0,900.0,8595.0,5212.679999999965
1702.0,120.0,953.0,9179.0,8630.930000000006
1786.0,180.0,1006.0,10506.0,6422.699999999971
1316.0,138.0,804.0,7830.0,4590.299999999984
1417.0,95.0,784.0,7773.0,5524.289999999971
952.0,106.0,591.0,4744.0,3864.489999999982
,,,,
1519.0,47.0,832.0,5825.0,4613.419999999965
1489.0,146.0,850.0,7764.0,5299.489999999961
1532.0,91.0,835.0,6906.0,6128.839999999955
1247.0,80.0,726.0,6176.0,4618.06999999998
1625.0,88.0,856.0,9303.0,6635.789999999964
1362.0,125.0,859.0,6183.0,6199.099999999974
,,,,
1346.0,53.0,685.0,7747.0,4696.009999999975
1432.0,98.0,767.0,9976.0,5610.629999999975
1483.0,156.0,834.0,8140.0,5393.469999999964
1841.0,119.0,907.0,9829.0,13550.430000000104
2038.0,101.0,936.0,11162.0,6308.409999999962
1286.0,99.0,742.0,6863.0,5601.789999999972
,,,,
804.0,35.0,567.0,3529.0,2380.0300000000034
,,,,
1224.0,54.0,764.0,5734.0,4233.569999999983
964.0,54.0,678.0,4350.0,3650.3400000000047
1725.0,114.0,953.0,8795.0,7617.389999999958
1467.0,142.0,898.0,5299.0,7494.149999999989
,,,,
2220.0,76.0,970.0,10307.0,7034.339999999934
2641.0,119.0,1171.0,12465.0,9485.920000000022
2096.0,123.0,1072.0,9371.0,12855.30000000016
1477.0,96.0,792.0,9076.0,4691.279999999968
1069.0,100.0,612.0,6340.0,4461.05999999997
1786.0,103.0,931.0,10116.0,15010.590000000071
,,,,
1474.0,78.0,839.0,7312.0,4799.019999999966
1657.0,75.0,952.0,8118.0,5801.649999999982
1568.0,80.0,878.0,9026.0,7537.2599999999775
1843.0,93.0,961.0,10400.0,6217.809999999978
1797.0,100.0,861.0,9449.0,73706.42999999956
975.0,67.0,608.0,5485.0,4063.1099999999788
,,,,
440.0,27.0,333.0,2137.0,1583.9200000000017
1783.0,52.0,1005.0,8436.0,5783.589999999973
1007.0,46.0,670.0,5133.0,4287.579999999972
1221.0,70.0,764.0,7184.0,4546.449999999974
1607.0,118.0,785.0,7885.0,9860.82999999996
1219.0,52.0,796.0,5990.0,5624.179999999963
,,,,
1283.0,62.0,757.0,5699.0,4149.529999999977
1870.0,80.0,926.0,11110.0,6630.2299999999705
1628.0,89.0,872.0,10113.0,6192.409999999956
1942.0,146.0,963.0,10794.0,7551.749999999952
1858.0,99.0,916.0,11487.0,6380.659999999951
1059.0,58.0,641.0,6394.0,3350.38999999998
,,,,
680.0,22.0,463.0,2640.0,2285.5500000000006
1953.0,127.0,819.0,11345.0,6534.119999999962
1108.0,63.0,684.0,5991.0,4606.759999999999
1748.0,98.0,926.0,8759.0,10098.82000000002
1348.0,100.0,793.0,7984.0,6413.419999999952
916.0,54.0,612.0,4609.0,3934.589999999994
,,,,
708.0,29.0,497.0,2533.0,2040.4600000000075
1216.0,66.0,737.0,5847.0,5502.49999999998
1155.0,63.0,749.0,5500.0,4796.419999999978
1442.0,108.0,850.0,7463.0,6732.90999999997
1596.0,104.0,847.0,9546.0,10515.909999999989
1226.0,131.0,776.0,7619.0,4453.449999999972
,,,,
909.0,43.0,597.0,4949.0,3065.7599999999966
1448.0,68.0,786.0,8907.0,-38702.94000000023
1183.0,64.0,673.0,7135.0,4311.50999999997
1282.0,85.0,756.0,7305.0,5829.619999999978
1618.0,105.0,823.0,7616.0,7401.689999999968
1056.0,55.0,671.0,6382.0,3531.509999999981
,,,,
1277.0,59.0,746.0,7220.0,4091.479999999977
1539.0,76.0,827.0,8852.0,7229.919999999963
1046.0,83.0,669.0,6574.0,3685.7999999999843
1344.0,86.0,729.0,8546.0,4231.179999999973
1905.0,101.0,912.0,8700.0,15094.710000000017
763.0,70.0,517.0,4630.0,3234.699999999989
,,,,
886.0,39.0,583.0,4113.0,2734.4899999999952
1203.0,73.0,706.0,7096.0,6506.469999999977
1542.0,85.0,874.0,7350.0,8217.919999999962
1405.0,64.0,856.0,7879.0,6210.339999999974
1366.0,73.0,765.0,7982.0,3759.739999999982
581.0,59.0,421.0,4434.0,1965.3500000000067
,,,,
910.0,47.0,570.0,4662.0,2565.319999999995
931.0,77.0,641.0,6518.0,2723.679999999997
1779.0,56.0,951.0,7400.0,7888.819999999977
1030.0,54.0,646.0,4873.0,9440.53000000004
1861.0,159.0,953.0,9887.0,8283.79999999997
1526.0,107.0,800.0,8274.0,6050.399999999976
,,,,
1088.0,64.0,623.0,6540.0,3345.8799999999824
1048.0,73.0,702.0,6215.0,4089.549999999994
983.0,67.0,644.0,6945.0,3225.5099999999998
1629.0,63.0,960.0,8994.0,5349.289999999981
1536.0,84.0,803.0,8869.0,5694.86999999998
1297.0,66.0,803.0,7976.0,4733.059999999985
,,,,
1382.0,64.0,780.0,8686.0,4035.4199999999746
1187.0,62.0,729.0,7937.0,3577.16999999998
1166.0,74.0,703.0,7957.0,3730.959999999984
1652.0,104.0,872.0,10045.0,6431.419999999962
1682.0,101.0,852.0,9897.0,7405.079999999982
1041.0,47.0,700.0,5193.0,26783.250000000007
,,,,
812.0,40.0,484.0,5043.0,2302.290000000002
,,,,
1783.0,75.0,946.0,8786.0,10727.480000000014
1056.0,84.0,680.0,5334.0,4254.2499999999745
1647.0,102.0,865.0,10002.0,7891.419999999962
1070.0,78.0,666.0,5984.0,4140.119999999983
,,,,
814.0,36.0,515.0,4626.0,2299.510000000001
1591.0,72.0,874.0,7881.0,6506.7499999999645
1145.0,55.0,721.0,6775.0,3955.7099999999896
1102.0,64.0,701.0,6656.0,3894.2399999999784
1656.0,102.0,882.0,9634.0,7377.53999999993
1028.0,51.0,633.0,5925.0,3854.0399999999854
,,,,
1326.0,49.0,729.0,6447.0,3877.0999999999744
2001.0,111.0,999.0,9731.0,7963.959999999999
1294.0,67.0,767.0,7604.0,4187.839999999974
1420.0,93.0,831.0,9434.0,4376.069999999969
1695.0,119.0,934.0,9837.0,31232.641000000003
1162.0,82.0,746.0,6867.0,4675.399999999984
,,,,
1980.0,60.0,985.0,9155.0,5047.819999999961
1841.0,101.0,972.0,10816.0,9563.250000000058
2476.0,143.0,1043.0,16965.0,7600.639999999956
1492.0,104.0,703.0,8993.0,5626.119999999974
2010.0,100.0,950.0,13417.0,5875.569999999951
1574.0,87.0,822.0,9850.0,9696.490000000082
,,,,
1475.0,76.0,757.0,8448.0,4287.49999999998
2317.0,111.0,1020.0,15362.0,39705.1099999996
2854.0,172.0,1250.0,16527.0,10607.970000000128
1915.0,133.0,989.0,12898.0,7832.079999999954
2150.0,123.0,991.0,14843.0,17434.080000000024
1764.0,89.0,940.0,9797.0,7646.99999999996
,,,,
2297.0,90.0,972.0,13041.0,7376.549999999938
2118.0,101.0,1011.0,13659.0,7417.999999999981
2772.0,206.0,1185.0,18305.0,67819.39999999845
1302.0,71.0,742.0,9973.0,4364.979999999988
3655.0,160.0,1384.0,18568.0,14566.070000000285
2034.0,101.0,1011.0,11986.0,7518.509999999972
,,,,
1724.0,71.0,897.0,8924.0,5314.589999999958
2511.0,126.0,1155.0,14388.0,7715.999999999943
2483.0,145.0,1150.0,15164.0,8394.679999999962
2201.0,103.0,1044.0,13373.0,15595.72000000009
2078.0,122.0,1027.0,14524.0,7222.55999999998
2316.0,138.0,1087.0,13350.0,28981.02999999999
,,,,
2745.0,80.0,1124.0,12913.0,7633.46999999993
2850.0,179.0,1236.0,12793.0,11625.590000000151
2298.0,99.0,1099.0,12309.0,8918.390000000049
2491.0,122.0,1092.0,13319.0,-29374.970000000027
2183.0,120.0,1076.0,12243.0,8692.36999999999
2266.0,144.0,1127.0,11033.0,11389.83999999999
,,,,
2393.0,86.0,1047.0,11303.0,7007.839999999939
1940.0,106.0,1021.0,9980.0,6069.949999999948
2548.0,133.0,1165.0,14995.0,8178.969999999967
1838.0,81.0,967.0,10362.0,6331.069999999962
1650.0,114.0,923.0,8347.0,15121.560000000078
1951.0,90.0,973.0,11875.0,6943.359999999968
,,,,
2690.0,88.0,1150.0,12139.0,7500.80999999995
2238.0,108.0,1162.0,9740.0,12516.250000000136
2368.0,179.0,1116.0,12978.0,8465.979999999961
2109.0,146.0,1072.0,11284.0,7428.759999999962
3748.0,219.0,1414.0,19350.0,13655.830000000173
2010.0,149.0,1090.0,11359.0,7725.259999999954
,,,,
2825.0,90.0,1107.0,13921.0,7681.839999999975
2638.0,124.0,1240.0,13649.0,23464.650999999943
2917.0,152.0,1117.0,16667.0,12092.14000000022
3640.0,152.0,1485.0,17104.0,12876.59000000019
3303.0,192.0,1302.0,16838.0,12538.210000000145
3065.0,120.0,1280.0,13766.0,12653.730000000152
,,,,
2913.0,94.0,1227.0,11271.0,8442.899999999996
3772.0,133.0,1426.0,16584.0,14324.610000000172
3361.0,154.0,1376.0,19160.0,12268.280000000115
2864.0,134.0,1274.0,14787.0,10901.541000000092
2909.0,122.0,1218.0,14069.0,10845.24000000006
2599.0,150.0,1146.0,13578.0,9973.500000000051
,,,,
3258.0,102.0,1287.0,14244.0,8909.709999999961
3273.0,105.0,1341.0,13769.0,12726.670000000155
3651.0,174.0,1440.0,18304.0,13975.70000000025
3446.0,188.0,1359.0,15154.0,14168.150000000138
3522.0,181.0,1247.0,18905.0,11789.710000000205
2610.0,102.0,1170.0,13210.0,10312.589999999976
,,,,
2609.0,104.0,1135.0,10132.0,7830.079999999927
3951.0,125.0,1534.0,18232.0,16431.740000000176
2416.0,170.0,977.0,15141.0,7914.199999999957
6216.0,143.0,1351.0,27791.0,25808.500000000222
4218.0,167.0,934.0,26320.0,13631.360000000277
4404.0,108.0,1156.0,19040.0,22228.180000000037
,,,,
5450.0,95.0,1151.0,22365.0,15786.340000000491
7756.0,133.0,1479.0,29374.0,35357.55999999958
5926.0,111.0,1295.0,23401.0,170304.1799999988
5294.0,148.0,1229.0,27627.0,19956.120000000345
5782.0,183.0,1301.0,25150.0,29325.260000000115
2758.0,91.0,1270.0,11716.0,12825.060000000149
,,,,
1451.0,51.0,801.0,5595.0,3966.2299999999723
2283.0,84.0,1172.0,10737.0,12388.27
2087.0,144.0,1030.0,11359.0,8257.359999999977
1349.0,98.0,773.0,8513.0,4819.309999999965
1790.0,150.0,937.0,12556.0,5954.719999999962
3115.0,72.0,1372.0,10249.0,18131.210000000017
,,,,
522.0,25.0,392.0,2542.0,1640.1900000000032
1763.0,96.0,958.0,7275.0,8081.789999999969
1586.0,66.0,832.0,5292.0,12393.340000000062
291.0,22.0,249.0,1835.0,1962.4400000000028
963.0,38.0,795.0,4193.0,3902.1799999999876
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1184.0,57.0,833.0,5614.0,4326.01999999999
1743.0,76.0,1023.0,8458.0,39220.589999999705
1832.0,78.0,1020.0,10229.0,7950.659999999971
1794.0,58.0,1035.0,10141.0,5871.849999999987
,,,,
1117.0,51.0,651.0,5896.0,3544.5499999999843
1976.0,61.0,1110.0,9057.0,7827.629999999975
1454.0,84.0,956.0,7923.0,5225.149999999981
1809.0,62.0,1084.0,7752.0,7600.879999999993
1445.0,51.0,954.0,6858.0,5666.019999999998
1510.0,56.0,907.0,8199.0,6553.2399999999925
,,,,
646.0,29.0,424.0,2583.0,1854.5000000000043
2557.0,55.0,1214.0,10421.0,9782.300000000016
1447.0,51.0,900.0,5174.0,6445.359999999997
1416.0,43.0,955.0,7423.0,4739.149999999982
1502.0,54.0,963.0,6837.0,8156.259999999978
1594.0,64.0,989.0,7695.0,6757.130000000003
,,,,
879.0,30.0,573.0,3605.0,2611.959999999991
1485.0,61.0,848.0,7441.0,6682.309999999985
1654.0,86.0,893.0,9179.0,6644.019999999961
1289.0,71.0,775.0,6800.0,5233.189999999984
1575.0,88.0,898.0,8887.0,7552.499999999976
1008.0,100.0,662.0,5707.0,3995.6799999999785
,,,,
722.0,25.0,488.0,2934.0,2321.7200000000016
1509.0,85.0,848.0,7333.0,6190.12999999999
1574.0,86.0,849.0,8362.0,5561.459999999987
1411.0,74.0,802.0,6722.0,5978.849999999977
989.0,53.0,604.0,5602.0,3817.5499999999975
1232.0,75.0,760.0,6123.0,6316.529999999999
,,,,
279.0,11.0,220.0,1209.0,799.4500000000008
1261.0,53.0,811.0,5785.0,5356.03999999997
1228.0,58.0,771.0,5494.0,5592.590000000004
879.0,31.0,604.0,4141.0,4453.150000000004
785.0,66.0,532.0,4670.0,3462.4599999999878
957.0,95.0,665.0,5085.0,5587.939999999985
,,,,
624.0,24.0,430.0,2154.0,1859.3600000000054
1108.0,55.0,721.0,6222.0,4374.689999999993
1335.0,70.0,816.0,7574.0,7385.1299999999865
1191.0,69.0,699.0,8118.0,3905.519999999976
1719.0,73.0,878.0,8501.0,7810.660000000011
854.0,67.0,613.0,5240.0,3084.849999999984
,,,,
864.0,29.0,595.0,3472.0,2721.2899999999922
1425.0,59.0,818.0,8133.0,17596.670000000064
1593.0,64.0,900.0,8615.0,5573.039999999977
1578.0,68.0,862.0,8022.0,7190.040000000003
1294.0,66.0,784.0,8106.0,5068.529999999976
978.0,51.0,596.0,7219.0,3507.9399999999832
,,,,
812.0,35.0,566.0,3619.0,2449.6299999999997
1737.0,61.0,931.0,7310.0,7995.399999999984
1361.0,67.0,845.0,8008.0,7259.879999999974
935.0,67.0,550.0,6053.0,3467.059999999983
1389.0,85.0,814.0,7583.0,5659.089999999979
1107.0,56.0,723.0,6483.0,3255.4999999999836
,,,,
844.0,35.0,520.0,3385.0,2845.039999999994
1971.0,107.0,1058.0,7875.0,10757.980000000052
1600.0,61.0,888.0,8907.0,5333.129999999978
1277.0,79.0,778.0,7158.0,4801.919999999972
1131.0,90.0,678.0,7185.0,3723.8999999999764
959.0,66.0,615.0,5861.0,10475.690000000051
,,,,
537.0,17.0,419.0,2014.0,1374.630000000003
1111.0,61.0,688.0,6147.0,3851.6899999999805
1292.0,65.0,728.0,6931.0,11141.280000000004
874.0,59.0,588.0,5766.0,3178.3099999999863
2074.0,88.0,1081.0,9453.0,8655.67000000002
1379.0,76.0,788.0,7240.0,17046.970000000136
,,,,
1453.0,64.0,864.0,7791.0,5053.789999999987
1068.0,69.0,637.0,6735.0,2938.7599999999907
2384.0,83.0,1159.0,9848.0,10389.570000000109
1319.0,88.0,793.0,7486.0,4778.019999999977
1577.0,95.0,795.0,9152.0,4687.929999999958
1386.0,67.0,824.0,6963.0,5604.09999999998
,,,,
737.0,46.0,515.0,3193.0,2176.400000000002
1672.0,85.0,904.0,8599.0,9699.41000000002
1983.0,95.0,990.0,11440.0,9098.139999999968
1590.0,118.0,902.0,9468.0,5140.839999999972
1738.0,94.0,895.0,8885.0,9091.810000000016
1261.0,107.0,765.0,7496.0,4684.349999999972
,,,,
731.0,22.0,526.0,2723.0,1788.1600000000062
1705.0,81.0,921.0,8172.0,18797.46000000006
1215.0,96.0,751.0,7075.0,6221.749999999986
1122.0,89.0,756.0,5857.0,3770.259999999987
1527.0,81.0,844.0,7110.0,4707.589999999971
1441.0,136.0,884.0,8736.0,9002.980000000025
,,,,
940.0,37.0,637.0,3996.0,3110.4099999999844
1259.0,74.0,778.0,8765.0,3611.42999999999
1152.0,81.0,666.0,8366.0,3700.6899999999873
1052.0,79.0,675.0,7484.0,3022.27999999999
1608.0,109.0,785.0,10996.0,5481.549999999964
1483.0,57.0,719.0,6927.0,8714.420999999958
,,,,
968.0,44.0,620.0,5480.0,2774.5699999999974
3208.0,96.0,1286.0,10647.0,12345.269999999957
1887.0,75.0,991.0,9133.0,7149.87999999998
1025.0,89.0,603.0,7680.0,3238.3899999999953
1930.0,112.0,967.0,9690.0,9542.420000000022
,,,,
,,,,
,,,,
,,,,
1903.0,86.0,933.0,9275.0,8523.90000000001
1307.0,92.0,801.0,7837.0,4271.069999999989
1192.0,101.0,755.0,7883.0,4706.129999999979
,,,,
,,,,
452.0,21.0,361.0,2571.0,1298.4100000000028
,,,,
1449.0,126.0,796.0,7474.0,28575.59000000031
1161.0,77.0,702.0,7857.0,3593.4099999999858
1838.0,110.0,917.0,10040.0,6246.539999999953
2051.0,113.0,1037.0,10686.0,7276.009999999962
,,,,
1506.0,67.0,742.0,7610.0,4316.799999999974
1766.0,84.0,866.0,9413.0,8745.48
2586.0,116.0,941.0,11692.0,15484.550000000147
1701.0,97.0,848.0,10268.0,5969.599999999954
1965.0,106.0,961.0,12556.0,8547.729999999969
1425.0,77.0,782.0,8670.0,4957.359999999965
,,,,
809.0,31.0,575.0,3552.0,2277.3600000000006
1609.0,87.0,799.0,9484.0,20897.620000000108
1932.0,121.0,910.0,11045.0,10116.700000000013
1366.0,89.0,729.0,8818.0,5320.059999999973
1949.0,124.0,904.0,11856.0,7760.889999999945
1129.0,90.0,616.0,8116.0,3970.2399999999857
,,,,
1564.0,62.0,881.0,9437.0,4596.719999999977
1646.0,122.0,850.0,8592.0,12608.920000000058
1750.0,101.0,933.0,8549.0,7291.139999999956
1322.0,91.0,715.0,7278.0,4553.689999999982
971.0,78.0,558.0,6209.0,4279.9299999999885
1170.0,85.0,660.0,6670.0,5204.239999999984
,,,,
632.0,25.0,443.0,2633.0,1716.0900000000076
,,,,
1281.0,62.0,743.0,6671.0,5080.379999999985
1456.0,65.0,826.0,5626.0,5831.199999999965
1588.0,86.0,879.0,7871.0,7065.059999999997
858.0,53.0,564.0,4782.0,3258.4099999999944
,,,,
1561.0,70.0,758.0,9016.0,4962.999999999963
1229.0,73.0,748.0,7083.0,4730.499999999968
1926.0,98.0,999.0,9921.0,6788.24999999997
2327.0,113.0,1051.0,12288.0,10794.620000000079
1850.0,110.0,1003.0,11143.0,7678.7399999999425
1067.0,92.0,670.0,5859.0,44471.119999999595
,,,,
1075.0,40.0,649.0,4786.0,3058.8399999999933
1472.0,87.0,846.0,8056.0,6006.169999999975
1587.0,66.0,880.0,7104.0,6435.359999999983
1718.0,90.0,927.0,8970.0,7495.179999999983
1534.0,107.0,869.0,9710.0,5497.959999999963
961.0,62.0,586.0,6652.0,3116.089999999993
,,,,
1167.0,64.0,724.0,6987.0,3447.6599999999876
2020.0,102.0,1009.0,9455.0,15143.190000000051
1538.0,85.0,874.0,7367.0,6712.189999999964
1017.0,68.0,652.0,7141.0,3593.7799999999975
1973.0,90.0,971.0,10522.0,6436.829999999931
1039.0,63.0,652.0,6405.0,15250.810000000018
,,,,
708.0,36.0,557.0,2750.0,2594.1099999999997
1182.0,61.0,724.0,5152.0,4679.179999999999
1043.0,84.0,647.0,6805.0,5266.539999999991
1358.0,67.0,999.0,6420.0,4903.169999999988
1620.0,80.0,944.0,9435.0,5499.379999999963
1027.0,70.0,607.0,5539.0,3570.5999999999954
,,,,
602.0,27.0,423.0,2534.0,1793.9800000000089
2200.0,64.0,1105.0,9287.0,9378.839999999958
2202.0,88.0,1156.0,10175.0,9444.639999999989
1816.0,77.0,1004.0,9264.0,5157.589999999993
1940.0,93.0,1061.0,10598.0,6634.439999999947
1630.0,93.0,929.0,8121.0,7446.999999999964
,,,,
820.0,29.0,604.0,2840.0,1976.1400000000062
1515.0,68.0,935.0,8235.0,4452.7799999999825
1667.0,66.0,983.0,7316.0,6601.019999999991
1618.0,66.0,948.0,8305.0,15986.32000000004
1734.0,91.0,980.0,9858.0,5626.649999999972
1136.0,62.0,848.0,4900.0,4796.169999999979
,,,,
1248.0,53.0,750.0,6293.0,3337.9399999999905
2234.0,107.0,1207.0,10147.0,27456.490000000013
1667.0,88.0,860.0,11884.0,5378.419999999967
2015.0,75.0,1059.0,9630.0,10977.660000000069
1570.0,106.0,917.0,10808.0,6732.059999999988
1301.0,58.0,888.0,6900.0,4170.48000000001
,,,,
1125.0,63.0,654.0,7177.0,3185.7499999999886
1946.0,70.0,1023.0,9334.0,7902.719999999975
1279.0,89.0,792.0,7614.0,4167.230999999985
1259.0,86.0,784.0,7458.0,3926.119999999989
1565.0,125.0,884.0,10407.0,5023.549999999954
1131.0,70.0,688.0,7552.0,3631.9399999999905
,,,,
1271.0,43.0,789.0,7004.0,3150.259999999991
1200.0,51.0,770.0,7025.0,4374.5399999999745
1369.0,61.0,862.0,8492.0,16374.760000000055
1560.0,84.0,871.0,9473.0,4964.929999999957
